City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
120,jamestown,42.097,-79.2353,3.62,50,0,2.06,US,1707240224
121,plettenberg bay,-34.0527,23.3716,20.94,82,68,1.09,ZA,1707240446
122,westport,41.1415,-73.3579,5.09,49,0,4.63,US,1707240369
123,badger,64.8,-147.5333,-16.77,82,100,0.0,US,1707240221
124,salavan,15.7167,106.4167,23.23,74,10,1.4,LA,1707240447
125,tutoia,-2.7619,-42.2744,30.87,65,38,7.47,BR,1707240447
126,colonia,50.9333,6.95,11.65,75,75,9.77,DE,1707240244
127,urucara,-2.5364,-57.76,36.03,39,30,2.81,BR,1707240448
128,college,64.8569,-147.8028,-16.72,80,100,0.0,US,1707240448
129,uetendorf,46.7739,7.5725,9.45,60,0,2.24,CH,1707240448
130,mus,39.0,41.75,-3.29,99,84,2.32,TR,1707240448
131,cabo san lucas,22.8909,-109.9124,24.31,55,20,2.06,MX,1707239784
132,arteche,12.2645,125.4048,24.71,85,91,3.29,PH,1707240449
133,hithadhoo,-0.6,73.0833,27.99,78,91,3.77,MV,1707240405
134,west island,-12.1568,96.8225,26.99,83,40,3.09,CC,1707240449
135,gisborne,-38.6533,178.0042,16.45,82,64,2.85,NZ,1707240449
136,jaicos,-7.3592,-41.1378,38.65,23,61,1.55,BR,1707240450
137,visakhapatnam,17.69,83.2093,24.94,100,20,1.03,IN,1707240450
138,vargem grande,-3.5431,-43.9158,35.56,38,72,2.34,BR,1707240450
139,jinchang,38.4953,102.1739,-9.32,87,84,1.91,CN,1707240450
140,crane,31.3974,-102.3501,13.63,44,81,7.37,US,1707240450
141,west bay,19.3667,-81.4167,25.59,67,20,6.69,KY,1707240451
142,ituango,7.1712,-75.764,23.6,74,31,1.19,CO,1707240451
143,lubao,14.9167,120.55,24.04,84,9,2.37,PH,1707240451
144,hasaki,35.7333,140.8333,2.38,75,100,7.04,JP,1707240261
145,nadym,65.5333,72.5167,-17.59,99,88,3.92,RU,1707240452
146,newport,51.5877,-2.9984,12.29,94,100,10.63,GB,1707240168
